image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_050.jpg,0.4826,Anormal,Anormal
Colpo_051.jpg,0.4827,Anormal,Normal
Colpo_052.jpg,0.4827,Anormal,Normal
Colpo_053.jpg,0.4826,Anormal,Anormal
Colpo_054.jpg,0.4827,Anormal,Normal
Colpo_055.jpg,0.4827,Anormal,Normal
Colpo_056.jpg,0.4827,Anormal,Normal
Colpo_057.jpg,0.4826,Anormal,Normal
Colpo_058.jpg,0.4828,Anormal,Normal
Colpo_059.jpg,0.4827,Anormal,Normal
Colpo_06.jpg,0.4827,Anormal,Normal
Colpo_060.jpg,0.4827,Anormal,Normal
Colpo_061.jpg,0.4828,Anormal,Anormal
Colpo_062.jpg,0.4826,Anormal,Normal
Colpo_063.jpg,0.4827,Anormal,Normal
Colpo_064.jpg,0.4826,Anormal,Anormal
Colpo_065.jpg,0.4827,Anormal,Anormal
Colpo_066.jpg,0.4828,Anormal,Anormal
Colpo_067.jpg,0.4826,Anormal,Anormal
Colpo_068.jpg,0.4827,Anormal,Anormal
Colpo_069.jpg,0.4827,Anormal,Normal
Colpo_07.jpg,0.4827,Anormal,Anormal
Colpo_070.jpg,0.4827,Anormal,Normal
Colpo_071.jpg,0.4827,Anormal,Anormal
Colpo_072.jpg,0.4828,Anormal,Anormal
Colpo_073.jpg,0.4827,Anormal,Normal
Colpo_074.jpg,0.4826,Anormal,Normal
Colpo_075.jpg,0.4827,Anormal,Anormal
Colpo_076.jpg,0.4827,Anormal,Anormal
Colpo_077.jpg,0.4827,Anormal,Anormal
Colpo_078.jpg,0.4827,Anormal,Anormal
Colpo_079.jpg,0.4827,Anormal,Normal
Colpo_08.jpg,0.4825,Anormal,Normal
Colpo_080.jpg,0.4826,Anormal,Normal
Colpo_081.jpg,0.4826,Anormal,Anormal
Colpo_082.jpg,0.4827,Anormal,Anormal
Colpo_083.jpg,0.4828,Anormal,Anormal
Colpo_084.jpg,0.4826,Anormal,Normal
Colpo_085.jpg,0.4826,Anormal,Normal
Colpo_086.jpg,0.4827,Anormal,Normal
Colpo_087.jpg,0.4827,Anormal,Normal
Colpo_088.jpg,0.4827,Anormal,Anormal
Colpo_089.jpg,0.4826,Anormal,Normal
Colpo_09.jpg,0.4827,Anormal,Normal
Colpo_090.jpg,0.4827,Anormal,Normal
Colpo_091.jpg,0.4827,Anormal,Anormal
Colpo_092.jpg,0.4827,Anormal,Anormal
Colpo_093.jpg,0.4828,Anormal,Normal
Colpo_094.jpg,0.4827,Anormal,Anormal
Colpo_095.jpg,0.4826,Anormal,Normal
Colpo_096.jpg,0.4827,Anormal,Normal
Colpo_097.jpg,0.4827,Anormal,Normal
Colpo_098.jpg,0.4827,Anormal,Normal
Colpo_099.jpg,0.4828,Anormal,Anormal
Colpo_489.jpeg,0.4826,Anormal,Normal
Colpo_491.jpg,0.4826,Anormal,Anormal
Colpo_492.jpg,0.4824,Anormal,Anormal
Colpo_494.jpg,0.4825,Anormal,Normal
Colpo_495.jpg,0.4826,Anormal,Normal
Colpo_498.jpg,0.4824,Anormal,Anormal
Colpo_500.jpg,0.4827,Anormal,Anormal
Colpo_510.jpg,0.4827,Anormal,Normal
Colpo_511.jpg,0.4824,Anormal,Normal
Colpo_512.jpg,0.4826,Anormal,Normal
Colpo_514.jpg,0.4826,Anormal,Anormal
Colpo_519.jpg,0.4828,Anormal,Anormal
Colpo_520.jpg,0.4827,Anormal,Anormal
Colpo_527.jpg,0.4825,Anormal,Anormal
Colpo_530.jpg,0.4827,Anormal,Anormal
Colpo_543.jpg,0.4824,Anormal,Normal
Colpo_554.jpg,0.4826,Anormal,Anormal
Colpo_555.jpg,0.4826,Anormal,Anormal
Colpo_575.jpg,0.4828,Anormal,Normal
Colpo_585.jpg,0.4826,Anormal,Normal
Colpo_587.jpg,0.4828,Anormal,Normal
Colpo_590.jpg,0.4826,Anormal,Normal
Colpo_594.jpg,0.4828,Anormal,Normal
Colpo_600.jpg,0.4824,Anormal,Normal
Colpo_606.jpg,0.4826,Anormal,Anormal
Colpo_617.jpg,0.4826,Anormal,Normal
Colpo_625.jpg,0.4828,Anormal,Normal
Colpo_626.jpg,0.4826,Anormal,Anormal
Colpo_627.jpg,0.4826,Anormal,Anormal
Colpo_628.jpg,0.4827,Anormal,Anormal
Colpo_629.jpg,0.4826,Anormal,Normal
Colpo_630.jpg,0.4827,Anormal,Anormal
Colpo_631.jpg,0.4825,Anormal,Anormal
Colpo_635.jpg,0.4824,Anormal,Anormal
Colpo_636.jpg,0.4826,Anormal,Anormal
Colpo_637.jpg,0.4825,Anormal,Anormal
Colpo_646.jpg,0.4825,Anormal,Anormal
Colpo_650.jpg,0.4824,Anormal,Normal
Colpo_654.jpg,0.4825,Anormal,Anormal
Colpo_661.jpg,0.4826,Anormal,Anormal
Colpo_664.jpg,0.4827,Anormal,Anormal
Colpo_669.jpg,0.4825,Anormal,Anormal
Colpo_670.jpg,0.4827,Anormal,Anormal
Colpo_672.jpg,0.4826,Anormal,Anormal
Colpo_675.jpg,0.4825,Anormal,Anormal
Colpo_679.jpg,0.4827,Anormal,Anormal
Colpo_682.jpg,0.4826,Anormal,Anormal
Colpo_689.jpg,0.4828,Anormal,Anormal
Colpo_690.jpg,0.4826,Anormal,Normal
Colpo_692.jpg,0.4826,Anormal,Normal
Colpo_694.jpg,0.4827,Anormal,Anormal
Colpo_695.jpg,0.4825,Anormal,Normal
Colpo_697.jpg,0.4826,Anormal,Normal
Colpo_706.jpg,0.4825,Anormal,Anormal
Colpo_711.jpg,0.4827,Anormal,Normal
Colpo_715.jpg,0.4827,Anormal,Normal
Colpo_721.jpg,0.4826,Anormal,Anormal
Colpo_728.jpg,0.4827,Anormal,Normal
Colpo_731.jpg,0.4825,Anormal,Anormal
Colpo_733.jpg,0.4824,Anormal,Anormal
Colpo_734.jpg,0.4826,Anormal,Normal
Colpo_735.jpg,0.4826,Anormal,Normal
Colpo_736.jpg,0.4826,Anormal,Normal
Colpo_737.jpg,0.4826,Anormal,Normal
Colpo_740.jpg,0.4825,Anormal,Anormal
Colpo_742.jpg,0.4826,Anormal,Anormal
Colpo_746.jpg,0.4827,Anormal,Normal
Colpo_747.jpg,0.4827,Anormal,Normal
Colpo_750.jpg,0.4826,Anormal,Normal
Colpo_752.jpg,0.4827,Anormal,Normal
Colpo_755.jpg,0.4826,Anormal,Normal
Colpo_757.jpg,0.4826,Anormal,Anormal
