image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_675.jpg,0.6015,Anormal,Anormal
Colpo_679.jpg,0.5524,Anormal,Anormal
Colpo_682.jpg,0.4828,Anormal,Anormal
Colpo_689.jpg,0.2597,Normal,Anormal
Colpo_690.jpg,0.1331,Normal,Normal
Colpo_692.jpg,0.4502,Anormal,Anormal
Colpo_694.jpg,0.3266,Normal,Normal
Colpo_695.jpg,0.5227,Anormal,Normal
Colpo_697.jpg,0.1995,Normal,Normal
Colpo_706.jpg,0.1777,Normal,Anormal
Colpo_711.jpg,0.1337,Normal,Normal
Colpo_715.jpg,0.0954,Normal,Normal
Colpo_721.jpg,0.4921,Anormal,Anormal
Colpo_728.jpg,0.535,Anormal,Normal
Colpo_731.jpg,0.5043,Anormal,Anormal
Colpo_733.jpg,0.4424,Anormal,Normal
Colpo_734.jpg,0.6234,Anormal,Normal
Colpo_735.jpg,0.6365,Anormal,Anormal
Colpo_736.jpg,0.21,Normal,Normal
Colpo_737.jpg,0.546,Anormal,Normal
Colpo_740.jpg,0.534,Anormal,Normal
Colpo_742.jpg,0.3394,Normal,Normal
Colpo_746.jpg,0.4602,Anormal,Normal
Colpo_747.jpg,0.3204,Normal,Normal
Colpo_750.jpg,0.6008,Anormal,Normal
Colpo_752.jpg,0.6398,Anormal,Normal
Colpo_755.jpg,0.2701,Normal,Normal
Colpo_757.jpg,0.6503,Anormal,Anormal
Colpo_766.jpg,0.4364,Anormal,Anormal
Colpo_774.jpg,0.5998,Anormal,Anormal
Colpo_776.jpg,0.482,Anormal,Anormal
Colpo_778.jpg,0.3785,Normal,Normal
Colpo_780.jpg,0.6045,Anormal,Anormal
Colpo_782.jpg,0.5447,Anormal,Anormal
Colpo_784.jpg,0.4062,Normal,Normal
Colpo_788.jpg,0.4786,Anormal,Normal
Colpo_796.jpg,0.3832,Normal,Normal
Colpo_799.jpg,0.38,Normal,Normal
Colpo_800.jpg,0.6942,Anormal,Anormal
Colpo_801.jpg,0.2126,Normal,Normal
Colpo_803.jpg,0.3981,Normal,Normal
Colpo_806.jpg,0.172,Normal,Anormal
Colpo_811.jpg,0.1791,Normal,Normal
Colpo_812.jpg,0.2867,Normal,Anormal
Colpo_818.jpg,0.5539,Anormal,Normal
Colpo_820.jpg,0.4005,Normal,Anormal
Colpo_825.jpg,0.682,Anormal,Normal
Colpo_828.jpg,0.5682,Anormal,Normal
Colpo_835.jpg,0.3253,Normal,Normal
Colpo_839.jpg,0.1935,Normal,Anormal
Colpo_840.jpg,0.4519,Anormal,Anormal
Colpo_845.jpg,0.7222,Anormal,Anormal
Colpo_848.jpg,0.3467,Normal,Normal
Colpo_853.jpg,0.1642,Normal,Normal
Colpo_864.jpg,0.2216,Normal,Normal
Colpo_866.jpg,0.4919,Anormal,Anormal
Colpo_869.jpg,0.4977,Anormal,Anormal
Colpo_870.jpg,0.7381,Anormal,Normal
Colpo_872.jpg,0.5332,Anormal,Anormal
Colpo_benign_0.jpg,0.5418,Anormal,Anormal
Colpo_benign_10.jpg,0.4432,Anormal,Anormal
Colpo_benign_1013.jpg,0.7375,Anormal,Normal
Colpo_benign_1014.jpg,0.653,Anormal,Anormal
Colpo_benign_1019.jpg,0.5359,Anormal,Normal
Colpo_benign_102.jpg,0.6472,Anormal,Anormal
Colpo_benign_1023.jpg,0.48,Anormal,Anormal
Colpo_benign_1024.jpg,0.5873,Anormal,Anormal
Colpo_benign_1026.jpg,0.4655,Anormal,Anormal
Colpo_benign_1027.jpg,0.3442,Normal,Anormal
Colpo_benign_1033.jpg,0.6149,Anormal,Normal
Colpo_benign_104.jpg,0.7367,Anormal,Anormal
Colpo_benign_1056.jpg,0.6544,Anormal,Anormal
Colpo_benign_1059.jpg,0.2841,Normal,Normal
Colpo_benign_1061.jpg,0.4302,Anormal,Anormal
Colpo_benign_1070.jpg,0.5919,Anormal,Anormal
Colpo_benign_1071.jpg,0.3195,Normal,Normal
Colpo_benign_1077.jpg,0.329,Normal,Anormal
Colpo_benign_109.jpg,0.3302,Normal,Anormal
Colpo_benign_1093.jpg,0.3318,Normal,Normal
Colpo_benign_1100.jpg,0.5725,Anormal,Anormal
Colpo_benign_1105.jpg,0.5613,Anormal,Anormal
Colpo_benign_1123.jpg,0.8665,Anormal,Anormal
Colpo_benign_1134.jpg,0.2534,Normal,Normal
Colpo_benign_1136.jpg,0.8887,Anormal,Anormal
Colpo_benign_1139.jpg,0.7309,Anormal,Anormal
