image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_626.jpg,0.4194,Normal,Normal
Colpo_627.jpg,0.4165,Normal,Normal
Colpo_628.jpg,0.4213,Anormal,Anormal
Colpo_629.jpg,0.4004,Normal,Normal
Colpo_630.jpg,0.425,Anormal,Anormal
Colpo_631.jpg,0.4036,Normal,Normal
Colpo_635.jpg,0.4356,Anormal,Anormal
Colpo_636.jpg,0.43,Anormal,Anormal
Colpo_637.jpg,0.3969,Normal,Anormal
Colpo_646.jpg,0.4136,Normal,Anormal
Colpo_650.jpg,0.4351,Anormal,Anormal
Colpo_654.jpg,0.4044,Normal,Normal
Colpo_661.jpg,0.4148,Normal,Anormal
Colpo_664.jpg,0.4186,Normal,Anormal
Colpo_669.jpg,0.3915,Normal,Anormal
Colpo_670.jpg,0.4215,Anormal,Anormal
Colpo_672.jpg,0.4167,Normal,Normal
Colpo_675.jpg,0.4175,Normal,Normal
Colpo_679.jpg,0.4232,Anormal,Anormal
Colpo_682.jpg,0.4271,Anormal,Anormal
Colpo_689.jpg,0.4109,Normal,Normal
Colpo_690.jpg,0.4054,Normal,Normal
Colpo_692.jpg,0.421,Anormal,Anormal
Colpo_694.jpg,0.4173,Normal,Normal
Colpo_695.jpg,0.4422,Anormal,Normal
Colpo_697.jpg,0.4386,Anormal,Anormal
Colpo_706.jpg,0.4094,Normal,Normal
Colpo_711.jpg,0.3986,Normal,Normal
Colpo_715.jpg,0.4458,Anormal,Normal
Colpo_721.jpg,0.4236,Anormal,Anormal
Colpo_728.jpg,0.4149,Normal,Normal
Colpo_731.jpg,0.401,Normal,Anormal
Colpo_733.jpg,0.4194,Normal,Normal
Colpo_734.jpg,0.4158,Normal,Normal
Colpo_735.jpg,0.4152,Normal,Normal
Colpo_736.jpg,0.4289,Anormal,Normal
Colpo_737.jpg,0.4157,Normal,Normal
Colpo_740.jpg,0.4362,Anormal,Normal
Colpo_742.jpg,0.4263,Anormal,Anormal
Colpo_746.jpg,0.4124,Normal,Normal
Colpo_747.jpg,0.4036,Normal,Normal
Colpo_750.jpg,0.4207,Anormal,Normal
Colpo_752.jpg,0.4418,Anormal,Normal
Colpo_755.jpg,0.4081,Normal,Normal
Colpo_757.jpg,0.4136,Normal,Normal
Colpo_766.jpg,0.418,Normal,Normal
Colpo_774.jpg,0.4146,Normal,Anormal
Colpo_776.jpg,0.4224,Anormal,Anormal
Colpo_778.jpg,0.4006,Normal,Normal
Colpo_780.jpg,0.4248,Anormal,Normal
Colpo_782.jpg,0.4175,Normal,Normal
Colpo_784.jpg,0.4384,Anormal,Anormal
Colpo_788.jpg,0.4206,Anormal,Anormal
Colpo_796.jpg,0.4322,Anormal,Normal
Colpo_799.jpg,0.4383,Anormal,Anormal
Colpo_800.jpg,0.4206,Anormal,Anormal
Colpo_801.jpg,0.4335,Anormal,Anormal
Colpo_803.jpg,0.4258,Anormal,Normal
Colpo_806.jpg,0.4156,Normal,Normal
Colpo_811.jpg,0.4168,Normal,Normal
Colpo_812.jpg,0.3927,Normal,Normal
Colpo_818.jpg,0.428,Anormal,Normal
Colpo_820.jpg,0.4106,Normal,Anormal
Colpo_825.jpg,0.4182,Normal,Normal
Colpo_828.jpg,0.423,Anormal,Anormal
Colpo_835.jpg,0.4264,Anormal,Anormal
Colpo_839.jpg,0.3968,Normal,Anormal
Colpo_840.jpg,0.4371,Anormal,Anormal
Colpo_845.jpg,0.4331,Anormal,Anormal
Colpo_848.jpg,0.4261,Anormal,Normal
Colpo_853.jpg,0.4014,Normal,Normal
Colpo_864.jpg,0.4371,Anormal,Normal
Colpo_866.jpg,0.4272,Anormal,Anormal
Colpo_869.jpg,0.393,Normal,Anormal
Colpo_870.jpg,0.4197,Normal,Normal
Colpo_872.jpg,0.4259,Anormal,Normal
Colpo_benign_0.jpg,0.4264,Anormal,Anormal
Colpo_benign_10.jpg,0.4173,Normal,Anormal
Colpo_benign_1013.jpg,0.4306,Anormal,Normal
Colpo_benign_1014.jpg,0.4216,Anormal,Anormal
Colpo_benign_1019.jpg,0.4306,Anormal,Normal
Colpo_benign_102.jpg,0.4427,Anormal,Normal
Colpo_benign_1023.jpg,0.4424,Anormal,Anormal
Colpo_benign_1024.jpg,0.451,Anormal,Anormal
Colpo_benign_1026.jpg,0.4107,Normal,Normal
Colpo_benign_1027.jpg,0.4189,Normal,Normal
Colpo_benign_1033.jpg,0.4153,Normal,Normal
Colpo_benign_104.jpg,0.4222,Anormal,Normal
Colpo_benign_1056.jpg,0.4177,Normal,Anormal
Colpo_benign_1059.jpg,0.4129,Normal,Normal
